764;1;Unidades;0;1;73.96;NULL;NULL
246;2;Unidades;0;1;123;NULL;NULL
814;3;m2;0;1;20;NULL;NULL
814;4;Unidades;0;1;0.16;NULL;NULL
814;5;m;0;1;0.11;NULL;NULL
814;6;Unidades;0;1;0.29;NULL;NULL
814;7;Unidades;0;1;2.5;NULL;NULL
263;8;m2;0;1;10.71;NULL;NULL
263;9;m2;0;1;14.9;NULL;NULL
814;10;m2;0;1;21;NULL;NULL
814;11;Unidades;0;1;17.64;NULL;NULL
814;12;m;0;1;18.5;NULL;NULL
814;13;m;0;1;0.89;NULL;NULL
814;14;m2;0;1;1.75;NULL;NULL
814;15;m2;0;1;1.82;NULL;NULL
814;16;m2;0;1;1.8;NULL;NULL
814;17;m2;0;1;1.51;NULL;NULL
814;18;m2;0;1;35.3;NULL;NULL
814;19;m2;0;1;1.83;NULL;NULL
69;20;m2;0;1;0.51;NULL;NULL
613;21;m2;0;1;0.52;NULL;NULL
69;22;m2;0;1;0.52;NULL;NULL
382;23;m2;0;1;0.53;NULL;NULL
263;24;m2;0;1;0.55;NULL;NULL
69;25;m2;0;1;0.55;NULL;NULL
563;26;m2;0;1;0.57;NULL;NULL
69;27;m2;0;1;0.58;NULL;NULL
382;28;m2;0;1;0.65;NULL;NULL
263;29;m2;0;1;0.7;NULL;NULL
576;30;m2;0;1;0.74;NULL;NULL
69;31;m2;0;1;0.78;NULL;NULL
814;32;Unidades;0;1;240;NULL;NULL
814;33;Unidades;0;1;1.5;NULL;NULL
814;34;Unidades;0;1;0.83;NULL;NULL
814;35;Unidades;0;1;20.87;NULL;NULL
814;36;Unidades;0;1;3.58;NULL;NULL
814;37;Unidades;0;1;9.5;NULL;NULL
814;38;Unidades;0;1;100.8;NULL;NULL
814;39;Unidades;0;1;43.55;NULL;NULL
814;40;m2;0;1;21.28;NULL;NULL
814;41;m2;0;1;2.94;NULL;NULL
814;42;m2;0;1;27.46;NULL;NULL
814;43;m3;0;1;16.16;NULL;NULL
814;44;m3;0;1;61.44;NULL;NULL
814;45;m3;0;1;5.43;NULL;NULL
814;46;Unidades;0;1;310;NULL;NULL
814;47;Unidades;0;1;202;NULL;NULL
814;48;Unidades;0;1;368;NULL;NULL
814;49;Unidades;0;1;141.93;NULL;NULL
814;50;Unidades;0;1;165;NULL;NULL
814;51;Unidades;0;1;35;NULL;NULL
814;52;Unidades;0;1;470;NULL;NULL
814;53;Unidades;0;1;140;NULL;NULL
814;54;Unidades;0;1;165;NULL;NULL
814;55;Unidades;0;1;9.97;NULL;NULL
814;56;Unidades;0;1;197;NULL;NULL
814;57;Unidades;0;1;15;NULL;NULL
814;58;Unidades;0;1;440;NULL;NULL
814;59;Unidades;0;1;3336;NULL;NULL
814;60;Unidades;0;1;1641;NULL;NULL
814;61;Unidades;0;1;740;NULL;NULL
814;62;Unidades;0;1;606;NULL;NULL
814;63;Unidades;0;1;1347;NULL;NULL
814;64;Unidades;0;1;585;NULL;NULL
814;65;Unidades;0;1;1208;NULL;NULL
814;66;Unidades;0;1;1579;NULL;NULL
814;67;Unidades;0;1;961;NULL;NULL
814;68;Unidades;0;1;0.36;NULL;NULL
814;69;Unidades;0;1;44;NULL;NULL
814;70;Unidades;0;1;10.11;NULL;NULL
814;71;Unidades;0;1;8.1;NULL;NULL
814;72;Unidades;0;1;13.47;NULL;NULL
